"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Address_Part__c"
"a3TDm000000bqaeMAA","005Dm000000nnayIAA","","FC-000065","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Social Security Number (SSN)","","","XXX-XX-XXXX","LLC_BI__SS__c","","false","","","false","false","false","","a2EDm0000008oBQMAY","1.0","","As a federally regulated bank, we are required to know our customers. We use your SSN to pull your credit bureau data, which allows us to process your application.","true","Why do we need this?","a3TDm000000bqaeMAA","Contact","false","","false","false","","","false","false","false","",""
"a3TDm000000bqafMAA","005Dm000000nnayIAA","","FC-000066","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Mobile Phone Number","","","","MobilePhone","","false","","","false","false","false","","a2EDm0000008oBQMAY","","","","false","","a3TDm000000bqafMAA","Contact","false","","false","false","","","false","false","false","",""
"a3TDm000000bqagMAA","005Dm000000nnayIAA","","FC-000070","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","ZIP","","","","LLC_BI__Home_Zipcode__c","","false","","","false","false","false","","a2EDm0000008oBQMAY","2.0","","","false","","a3TDm000000bqagMAA","Contact","false","","false","false","","","false","false","false","",""
"a3TDm000000bqahMAA","005Dm000000nnayIAA","","FC-000067","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Residential Address","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","a2EDm0000008oBQMAY","","","","false","","a3TDm000000bqahMAA","Contact","false","","false","false","","","false","false","false","",""
"a3TDm000000bqaiMAA","005Dm000000nnayIAA","","FC-000068","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","City","","","","LLC_BI__Home_City__c","","false","","","false","false","false","","a2EDm0000008oBQMAY","","","","false","","a3TDm000000bqaiMAA","Contact","false","","false","false","","","false","false","false","",""
"a3TDm000000bqajMAA","005Dm000000nnayIAA","","FC-000069","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","State","","","","LLC_BI__Home_State__c","","false","","","false","false","false","","a2EDm0000008oBQMAY","2.0","","","false","","a3TDm000000bqajMAA","Contact","false","","false","false","","","false","false","false","",""
"a3TDm000000bqakMAA","005Dm000000nnayIAA","","FC-000098","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","","","","Name","","false","","","false","true","false","","","","a2FDm000000HEQ2MAO","","false","","575766443567986","LLC_BI__Credit_Memo_Modifcation__c","false","","false","false","","","false","false","false","",""
"a3TDm000000bqalMAA","005Dm000000nnayIAA","","FC-000099","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","","","","LLC_BI__Approval_Status__c","","false","","","false","true","false","","","","a2FDm000000HEQ2MAO","","false","","42937821374556311","LLC_BI__Credit_Memo_Modifcation__c","false","","false","false","","","false","false","false","",""
"a3TDm000000bqamMAA","005Dm000000nnayIAA","","FC-000071","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Mailing Address","","","","MailingAddress","","false","","","false","false","false","","a2EDm0000008oBQMAY","","","","false","","a3TDm000000bqamMAA","Contact","false","","false","false","","","false","false","false","",""
"a3TDm000000bqanMAA","005Dm000000nnayIAA","","FC-000072","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","City","","","","MailingCity","","false","","","false","false","false","","a2EDm0000008oBQMAY","","","","false","","a3TDm000000bqanMAA","Contact","false","","false","false","","","false","false","false","",""
