"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","cm_Industry_Code_Description__c","cm_Industry_Code__c"
"a1bDm000000Yml0IAC","005Dm000000nnayIAA","","424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stat","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","424720"
"a1bDm000000Yml1IAC","005Dm000000nnayIAA","","424810 - Beer and Ale Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Beer and Ale Merchant Wholesalers","424810"
"a1bDm000000Yml2IAC","005Dm000000nnayIAA","","424820 - Wine and Distilled Alcoholic Beverage Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Wine and Distilled Alcoholic Beverage Merchant Wholesalers","424820"
"a1bDm000000Yml3IAC","005Dm000000nnayIAA","","424910 - Farm Supplies Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Farm Supplies Merchant Wholesalers","424910"
"a1bDm000000Yml4IAC","005Dm000000nnayIAA","","424920 - Book, Periodical, and Newspaper Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Book, Periodical, and Newspaper Merchant Wholesalers","424920"
"a1bDm000000Yml5IAC","005Dm000000nnayIAA","","424930 - Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers","424930"
"a1bDm000000Yml6IAC","005Dm000000nnayIAA","","424940 - Tobacco Product and Electronic Cigarette Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Tobacco Product and Electronic Cigarette Merchant Wholesalers","424940"
"a1bDm000000Yml7IAC","005Dm000000nnayIAA","","424950 - Paint, Varnish, and Supplies Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Paint, Varnish, and Supplies Merchant Wholesalers","424950"
"a1bDm000000Yml8IAC","005Dm000000nnayIAA","","424990 - Other Miscellaneous Nondurable Goods Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Other Miscellaneous Nondurable Goods Merchant Wholesalers","424990"
"a1bDm000000Yml9IAC","005Dm000000nnayIAA","","425120 - Wholesale Trade Agents and Brokers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Wholesale Trade Agents and Brokers","425120"
"a1bDm000000YmlAIAS","005Dm000000nnayIAA","","441110 - New Car Dealers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","New Car Dealers","441110"
"a1bDm000000YmlBIAS","005Dm000000nnayIAA","","441120 - Used Car Dealers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Used Car Dealers","441120"
"a1bDm000000YmlCIAS","005Dm000000nnayIAA","","441210 - Recreational Vehicle Dealers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Recreational Vehicle Dealers","441210"
"a1bDm000000YmlDIAS","005Dm000000nnayIAA","","441222 - Boat Dealers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Boat Dealers","441222"
"a1bDm000000YmlEIAS","005Dm000000nnayIAA","","441330 - Automotive Parts and Accessories Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Automotive Parts and Accessories Retailers","441330"
