"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Allow_Record_Filtering__c","LLC_BI__Balance_Total__c","LLC_BI__Borrower_Type__c","LLC_BI__Bundle__c","LLC_BI__Description__c","LLC_BI__End_Date_Quarter__c","LLC_BI__End_Date__c","LLC_BI__Entity_Type__c","LLC_BI__Group_Columns__c","LLC_BI__Interaction__c","LLC_BI__Is_Balance_Sheet__c","LLC_BI__Is_Budget__c","LLC_BI__Is_Cash_Flow_Statement__c","LLC_BI__Is_Income_Statement__c","LLC_BI__Is_Personal_Financial_Statement__c","LLC_BI__Is_Ratios__c","LLC_BI__Is_Template__c","LLC_BI__Is_Traditional_Cash_Flow__c","LLC_BI__Is_UCA_Cash_Flow__c","LLC_BI__Product_Line__c","LLC_BI__Product_Type__c","LLC_BI__Product__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__Start_Date_Quarter__c","LLC_BI__Start_Date__c","LLC_BI__Static_Periods__c","LLC_BI__Total_Hide_Currency_Symbol__c","LLC_BI__Total_Row_Name__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","LLC_BI__Is_Global_Analysis__c","LLC_BI__Calc_Common_Sizing_Record__c","LLC_BI__Calc_Common_Sizing_Total_Group__c","LLC_BI__Sort_Order__c","LLC_BI__Display_Common_Sizing__c","LLC_BI__Supports_Common_Sizing__c","LLC_BI__Display_Trend__c","LLC_BI__Supports_Trend__c","LLC_BI__Display_Projection_Drivers__c","LLC_BI__Source_Statement__c","LLC_BI__Is_Multi_Currency__c"
"a19Dm000001Iw1PIAS","005Dm000000nnayIAA","","000003924","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIyMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Summary Direct CF","42847743321211061","","","","500.0","false","","false","","false","","false"
"a19Dm000001Iw1QIAS","005Dm000000nnayIAA","","000003925","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIyMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Reconciliation","42721010119485140","","","","300.0","false","","false","","false","","false"
"a19Dm000001Iw1RIAS","005Dm000000nnayIAA","","000003926","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIzMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Summary Direct CF","42148986073066108","","","","400.0","false","","false","","false","","false"
"a19Dm000001Iw1SIAS","005Dm000000nnayIAA","","000003927","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIzMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","true","","Ratios","42328570631370527","","","","500.0","false","","false","","false","","false"
"a19Dm000001Iw1TIAS","005Dm000000nnayIAA","","000003928","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIzMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Reconciliation","42926432012898837","","","","250.0","false","","false","","false","","false"
"a19Dm000001Iw1UIAS","005Dm000000nnayIAA","","000003929","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIzMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Traditional Cash Flow","42362951622350445","","","","300.0","false","","false","","false","","false"
"a19Dm000001Iw1VIAS","005Dm000000nnayIAA","","000003930","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIzMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Summary Indirect CF","42829433167636053","","","","350.0","false","","false","","false","","false"
"a19Dm000001Iw1WIAS","005Dm000000nnayIAA","","000003931","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIzMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Income Statement","42378202816688880","","","a16Dm000000MOi9IAG","200.0","true","","false","","false","","false"
"a19Dm000001Iw1XIAS","005Dm000000nnayIAA","","000003932","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIzMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Balance Sheet","42781954768389993","","","a16Dm000000MOiMIAW","100.0","true","","false","","false","","false"
"a19Dm000001Iw1YIAS","005Dm000000nnayIAA","","000003933","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCJ0MAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Summary Direct CF","42679411006265561","","","","400.0","false","","false","","false","","false"
