"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c"
"a3fDm000000079YIAQ","","a3jDm000000pIyT","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4cpIAC","f450dad1-562b-47ce-8745-34ef6f197a35"
"a3fDm000000079ZIAQ","","a5xDm000000Coq8","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9cMAC","a18Dm000000H4cqIAC","42090921342366058"
"a3fDm000000079aIAA","","a3jDm000000pIyU","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4cqIAC","b489704b-9d8a-4ff0-9f08-91dffd1d25fc"
"a3fDm000000079bIAA","","a5xDm000000Cott","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu9dMAC","a18Dm000000H4crIAC","42197021182114016"
"a3fDm000000079cIAA","","a5xDm000000Cotu","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7OMAS","a18Dm000000H4YJIA0","42532361791357713"
"a3fDm000000079dIAA","","a5xDm000000Cotv","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBRMA0","a18Dm000000H4YKIA0","42629776817447320"
"a3fDm000000079eIAA","","a5xDm000000Cotw","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7OMAS","a18Dm000000H4YLIA0","42709263796728095"
"a3fDm000000079gIAA","","a5xDm000000Cotx","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7OMAS","a18Dm000000H4YMIA0","42586602819652945"
"a3fDm000000079fIAA","","a5xDm000000Coty","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8OMAS","a18Dm000000H4YNIA0","42131522987307588"
"a3fDm000000079hIAA","","a5xDm000000Cotz","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu8PMAS","a18Dm000000H4YPIA0","42479155577862278"
"a3fDm000000079iIAA","","a5xDm000000Cou0","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7OMAS","a18Dm000000H4YQIA0","42955462544648653"
