"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3YDm000000Gu8aMAC","005Dm000000nnayIAA","","Sch. C - Expenses for Primary Residence","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_C_Expenses_for_Primary_Residence_ACCTGRD"
"a3YDm000000Gu8bMAC","005Dm000000nnayIAA","","Sch. E - Rents Received","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_E_ Rents_Received _ACCTGRD"
"a3YDm000000Gu8cMAC","005Dm000000nnayIAA","","Debt Less Sub Debt/ Eff. TNW","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Debt_Less_Sub_Debt_Eff_TNW_ACCTGRD"
"a3YDm000000Gu8dMAC","005Dm000000nnayIAA","","Eff Tangible Net Worth Actual","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","Eff_Tangible_Net_Worth_Actual_ACCTGRD"
"a3YDm000000Gu8eMAC","005Dm000000nnayIAA","","EBITDA / Int Exp + CP CPLTD","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","EBITDA_Int_Exp__CP_CPLTD_ACCTGRD"
"a3YDm000000Gu8fMAC","005Dm000000nnayIAA","","EBIT","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Ratios/Stats)","EBIT_ACCTGRD"
"a3YDm000000Gu8gMAC","005Dm000000nnayIAA","","Other Liquid Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","other_liquid_assets"
"a3YDm000000Gu8hMAC","005Dm000000nnayIAA","","Time Deposits","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Time_Deposits_ACCTGRD"
"a3YDm000000Gu8iMAC","005Dm000000nnayIAA","","Other Cash & Equivalents","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Other_Cash_Equivalents_ACCTGRD"
"a3YDm000000Gu8jMAC","005Dm000000nnayIAA","","Bad Debt Reserve","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Bad_Debt_Reserve_ACCTGRD"
"a3YDm000000Gu8kMAC","005Dm000000nnayIAA","","Trade Receivables (net)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","trade_receivables_net"
"a3YDm000000Gu8lMAC","005Dm000000nnayIAA","","Accounts Receivable Trade - CP","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Accounts_Rec_Trade_CP_ACCTGRD"
