"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Row_Number__c","LLC_BI__Title__c","LLC_BI__lookupKey__c","LLC_BI__Group_Type__c","LLC_BI__Is_Summary_Group__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Total_Type__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Color__c"
"a16Dm000000MOgzIAG","","Net Cash Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","true","false","true","","100.0","Net Cash Income","42021911595128920","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh0IAG","","Cash Effect Debt Amortization","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","110.0","Debt Amortization","42054360948296131","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh1IAG","","Cash After Debt Amort.","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","true","false","true","","120.0","Cash After Debt Amort.","42285121486722510","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh2IAG","","Chg. Net Fixed Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","130.0","Chg. Net Fixed Assets","42658457978007931","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh3IAG","","Chg. Investments","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","140.0","Chg. Investments","42343766121195428","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh4IAG","","Chg. Net Intangibles","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","150.0","Chg. Net Intangibles","42241988624576652","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh5IAG","","Cash Paid for Plant & Investments","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","160.0","Cash Paid for Plant & Investments","42714594455695104","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh6IAG","","Net Change in Other Funding","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","200.0","Change in Other Funding","42541577005361672","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh7IAG","","Total Extraordinary & Non-Cash Items","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","170.0","Extraordinary & Non-Cash Items","42623633656081363","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh8IAG","","Financing Surplus/(Reqmnts)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","true","false","true","","180.0","Financing Surplus/(Reqmnts)","42446220083487696","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOh9IAG","","Net Change in Borrowing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","190.0","Change in Borrowing","42495973719880734","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOhAIAW","","Net Cash from Funding","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","210.0","Cash from Funding","42356671628378727","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOhBIAW","","Cash After Financing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","true","false","true","","220.0","Cash After Financing","42884772704217398","Financial","false","None","false","","","","Standard","false","","false",""
