"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c"
"a3gDm000000g1VTIAY","","a5yDm00000008ae","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCsMAK","a16Dm000000MOjmIAG","42765880603678535"
"a3gDm000000g1VUIAY","","a5yDm00000008af","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCeMAK","a16Dm000000MOgJIAW","42529166381921747"
"a3gDm000000g1VVIAY","","a5yDm00000008ag","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCkMAK","a16Dm000000MOgKIAW","42615128526329813"
"a3gDm000000g1VWIAY","","a5yDm00000008ah","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuClMAK","a16Dm000000MOgLIAW","42054249331488447"
"a3gDm000000g1VXIAY","","a5yDm00000008ai","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCpMAK","a16Dm000000MOgMIAW","42862060951157228"
"a3gDm000000g1VYIAY","","a5yDm00000008aj","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCqMAK","a16Dm000000MOgNIAW","42625076193808641"
"a3gDm000000g1VZIAY","","a5yDm00000008ak","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCrMAK","a16Dm000000MOgOIAW","42893294590748382"
"a3gDm000000g1VaIAI","","a5yDm00000008al","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCtMAK","a16Dm000000MOgPIAW","42193401183343836"
"a3gDm000000g1VbIAI","","a5yDm00000008am","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCAMA0","a16Dm000000MOgQIAW","42050553807544192"
"a3gDm000000g1VcIAI","","a5yDm00000008an","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCuMAK","a16Dm000000MOgRIAW","42242593063924749"
"a3gDm000000g1VdIAI","","a5yDm00000008ao","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCNMA0","a16Dm000000MOgaIAG","42252258514286011"
"a3gDm000000g1VeIAI","","a5yDm00000008ap","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCOMA0","a16Dm000000MOgbIAG","42367288021886331"
"a3gDm000000g1VfIAI","","a5yDm00000008aq","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCPMA0","a16Dm000000MOgcIAG","42985485365915114"
"a3gDm000000g1VgIAI","","a5yDm00000008ar","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCRMA0","a16Dm000000MOgeIAG","42262940516487408"
"a3gDm000000g1VhIAI","","a5yDm00000008at","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCvMAK","a16Dm000000MOgfIAG","42294116921511976"
"a3gDm000000g1ViIAI","","a5yDm00000008as","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCUMA0","a16Dm000000MOggIAG","42687166487278202"
"a3gDm000000g1VjIAI","","a5yDm00000008au","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCVMA0","a16Dm000000MOghIAG","42800151415349232"
"a3gDm000000g1VkIAI","","a5yDm00000008av","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCYMA0","a16Dm000000MOgiIAG","42831943640730185"
"a3gDm000000g1VlIAI","","a5yDm00000008aw","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCXMA0","a16Dm000000MOgjIAG","42456696309484614"
