"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2HDm000000LE12MAG","","SC-000011723","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQlMAO","2.0","LLC_BI__UI_Memo_Action","","a2HDm000000LE0DMAW","LLC_BI__Change_Memos__r","Change Memo","15761620937672794","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false"
"a2HDm000000LE13MAG","","SC-000011722","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQkMAO","2.01","LLC_BI__UI_Risk_Rating","","a2HDm000000LE0CMAW","LLC_BI__Risk_Rating_Review__r","Risk Rating","95611620937672793","LLC_BI__Annual_Review__c","","","false","","false"
"a2HDm000000LE14MAG","","SC-000011724","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQnMAO","2.01","LLC_BI__UI_Loan_Team_Members","","a2HDm000000LE0FMAW","LLC_BI__Loan_Teams__r","Team Members","79541620937672795","LLC_BI__LoanTeam__c","","","false","","false"
"a2HDm000000LE15MAG","","SC-000011725","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQoMAO","2.01","UI_Fees","a2CDm000000LjCQMA0","a2HDm000000LE0GMAW","LLC_BI__Fees__r","","90291620937672795","LLC_BI__Fee__c","","","false","","false"
"a2HDm000000LE16MAG","","SC-000011726","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQpMAO","2.01","UI_Third_Party_Reports","a2CDm000000LjCRMA0","a2HDm000000LE0HMAW","LLC_BI__Third_Party_Reports__r","","53741620937672796","LLC_BI__third_party_report__c","","","false","","false"
"a2HDm000000LE17MAG","","SC-000011727","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQrMAO","2.02","UI_Participations","a2CDm000000LjCSMA0","a2HDm000000LE0JMAW","LLC_BI__Participations__r","","14251620937672797","LLC_BI__Participation__c","","0.0","false","","false"
"a2HDm000000LE18MAG","","SC-000011728","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQtMAO","2.01","UI_Loan_Adverse_Action","","a2HDm000000LE0LMAW","LLC_BI__Adverse_Actions__r","","72211620937672798","LLC_BI__Adverse_Action__c","","","false","","false"
"a2HDm000000LE19MAG","","SC-000011729","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQuMAO","2.01","UI_Loan_Loan_Team_Members","","a2HDm000000LE0MMAW","LLC_BI__Loan_Teams__r","","50921620937672799","LLC_BI__LoanTeam__c","","","false","","false"
"a2HDm000000LE1AMAW","","SC-000011730","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HER3MAO","2.0","LLC_BI__UI_Tasks","","a2HDm000000LE0UMAW","Tasks","Tasks","80791620937672801","Task","","","false","","false"
"a2HDm000000LE1BMAW","","SC-000011731","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HER5MAO","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2HDm000000LE0VMAW","LLC_BI__Legal_Entities__r","HMDA","05841620937672802","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDm000000LE1CMAW","","SC-000011732","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HER7MAO","2.01","LLC_BI__HMDA_Entity_Relationship_Name","","a2HDm000000LE0YMAW","LLC_BI__Legal_Entities__r","Relationship","31881620937672803","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDm000000LE1DMAW","","SC-000011733","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HER8MAO","2.01","LLC_BI__UI_HMDA_Loan_Compliance_2018","","a2HDm000000LE0ZMAW","LLC_BI__Loan_Compliances__r","Loan Compliance","45791620937672804","LLC_BI__Loan_Compliance__c","","","false","","false"
"a2HDm000000LE1EMAW","","SC-000011734","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERCMA4","2.02","LLC_BI__Rate_Structure_Table","a2CDm000000LjCTMA0","a2HDm000000LE0fMAG","Pricing_Rate_Components__r","","67181620937672806","LLC_BI__Pricing_Rate_Component__c","","0.0","false","","false"
