"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Reciprocal_Role__c","LLC_BI__Self_Reciprocating__c","LLC_BI__Sort_Order__c","LLC_BI__Role_Type__c","LLC_HI__Manage_Reciprocal_Involvements__c","LLC_BI__lookupKey__c","LLC_BI__Is_Household_Member__c","LLC_BI__Use_in_NCC__c","LLC_BI__Enable_Treasury_Maintenance_Display__c","LLC_BI__Screen_Section__c"
"a1fDm000000PI6UIAW","005Dm000000nnayIAA","","Officer","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a1fDm000000PI6OIAW","false","260.0","","false","a1fDm000000PI6UIAW","false","false","false",""
"a1fDm000000PI6VIAW","005Dm000000nnayIAA","","Employee","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a1fDm000000PI6ZIAW","false","100.0","","false","a1fDm000000PI6VIAW","false","false","false",""
"a1fDm000000PI6WIAW","005Dm000000nnayIAA","","Household Member","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a1fDm000000PI6QIAW","false","90.0","","true","a1fDm000000PI6WIAW","true","false","false",""
"a1fDm000000PI6XIAW","005Dm000000nnayIAA","","Former Employee","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a1fDm000000PI6MIAW","false","120.0","","false","a1fDm000000PI6XIAW","false","false","false",""
"a1fDm000000PI6YIAW","005Dm000000nnayIAA","","Co-Owner","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a1fDm000000PI6OIAW","false","200.0","","false","a1fDm000000PI6YIAW","false","false","false",""
"a1fDm000000PI6ZIAW","005Dm000000nnayIAA","","Employer","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a1fDm000000PI6VIAW","false","110.0","","false","a1fDm000000PI6ZIAW","false","false","false",""
"a1fDm000000PI6aIAG","005Dm000000nnayIAA","","Spouse","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","50.0","","false","a1fDm000000PI6aIAG","false","false","false",""
"a1fDm000000PI6bIAG","005Dm000000nnayIAA","","Connection","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","10.0","","false","a1fDm000000PI6bIAG","false","false","false",""
"a1fDm000000PI6cIAG","005Dm000000nnayIAA","","Original Account","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","0.0","","false","a1fDm000000PI6cIAG","false","false","false",""
"a1fDm000000PI6dIAG","005Dm000000nnayIAA","","Beneficial Owner","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","210.0","","false","a1fDm000000PI6dIAG","false","false","false",""
"a1fDm000000PI6eIAG","005Dm000000nnayIAA","","Subsidiary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","170.0","","false","a1fDm000000PI6eIAG","false","false","false",""
"a1fDm000000PI6fIAG","005Dm000000nnayIAA","","Sibling","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","40.0","","false","a1fDm000000PI6fIAG","false","false","false",""
"a1fDm000000PI6gIAG","005Dm000000nnayIAA","","Partner","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","140.0","","false","a1fDm000000PI6gIAG","false","false","false",""
"a1fDm000000PI6hIAG","005Dm000000nnayIAA","","Colleague","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","150.0","","false","a1fDm000000PI6hIAG","false","false","false",""
"a1fDm000000PI6iIAG","005Dm000000nnayIAA","","Other","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","220.0","","false","a1fDm000000PI6iIAG","false","false","false",""
"a1fDm000000PI6jIAG","005Dm000000nnayIAA","","Friend","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","70.0","","false","a1fDm000000PI6jIAG","false","false","false",""
"a1fDm000000PI6kIAG","005Dm000000nnayIAA","","Related","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","230.0","","false","a1fDm000000PI6kIAG","false","false","false",""
"a1fDm000000PI6lIAG","005Dm000000nnayIAA","","Competitor","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","210.0","","false","a1fDm000000PI6lIAG","false","false","false",""
"a1fDm000000PI6mIAG","005Dm000000nnayIAA","","Business Partner","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","160.0","","false","a1fDm000000PI6mIAG","false","false","false",""
"a1fDm000000PI6nIAG","005Dm000000nnayIAA","","Life Partner","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","true","60.0","","false","a1fDm000000PI6nIAG","false","false","false",""
