"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a2yDm000000oRpnIAE","005Dm000000nnayIAA","","OR-000146","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxsIAC","a2zDm000000TYadIAG","a30Dm000000XmxFIAS","954304745233254588"
"a2yDm000000oRpoIAE","005Dm000000nnayIAA","","OR-000147","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxwIAC","a2zDm000000TYadIAG","a30Dm000000XmxFIAS","996790203376396096"
"a2yDm000000oRppIAE","005Dm000000nnayIAA","","OR-000148","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxxIAC","a2zDm000000TYadIAG","a30Dm000000XmxFIAS","167239791704037961"
"a2yDm000000oRpqIAE","005Dm000000nnayIAA","","OR-000149","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxyIAC","a2zDm000000TYadIAG","a30Dm000000XmxFIAS","476271547201690502"
"a2yDm000000oRprIAE","005Dm000000nnayIAA","","OR-000150","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxqIAC","a2zDm000000TYadIAG","a30Dm000000XmxFIAS","909295577383983993"
"a2yDm000000oRpsIAE","005Dm000000nnayIAA","","OR-000151","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxuIAC","a2zDm000000TYbBIAW","a30Dm000000XmxEIAS","679581452003245025"
"a2yDm000000oRptIAE","005Dm000000nnayIAA","","OR-000152","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000Xmy2IAC","a2zDm000000TYbZIAW","a30Dm000000XmxlIAC","505525074955899211"
"a2yDm000000oRpuIAE","005Dm000000nnayIAA","","OR-000153","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000Xmy5IAC","a2zDm000000TYbZIAW","a30Dm000000XmxlIAC","587205368299443070"
"a2yDm000000oRpvIAE","005Dm000000nnayIAA","","OR-000154","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000Xmy4IAC","a2zDm000000TYbZIAW","a30Dm000000XmxlIAC","741645842906899069"
"a2yDm000000oRpwIAE","005Dm000000nnayIAA","","OR-000155","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000Xmy3IAC","a2zDm000000TYbZIAW","a30Dm000000XmxlIAC","337065213448562634"
"a2yDm000000oRpxIAE","005Dm000000nnayIAA","","OR-000156","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000Xmy6IAC","a2zDm000000TYbZIAW","a30Dm000000XmxlIAC","402593914880540994"
"a2yDm000000oRpyIAE","005Dm000000nnayIAA","","OR-000157","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000Xmy7IAC","a2zDm000000TYbZIAW","a30Dm000000XmxlIAC","157414416421196833"
