"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__CFG_ConfigKeys__c","LLC_BI__CFG_ConfigValue__c","LLC_BI__Product_Type__c","LLC_BI__lookupKey__c","LLC_BI__Product__c","LLC_BI__sObject_Type__c"
"a0CDm000000kMtdMAE","","CFG-CKJ00014935","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieiMAA","a0EDm000000dJm4MAE","","42071174774357513","",""
"a0CDm000000kMteMAE","","CFG-CKJ00014936","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieiMAA","a0EDm000000dJm5MAE","","42374492999899467","",""
"a0CDm000000kMtfMAE","","CFG-CKJ00014937","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieiMAA","a0EDm000000dJm6MAE","","42980992076349868","",""
"a0CDm000000kMtgMAE","","CFG-CKJ00014938","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieiMAA","a0EDm000000dJm7MAE","","42092876895874880","",""
"a0CDm000000kMthMAE","","CFG-CKJ00014939","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieiMAA","a0EDm000000dJm8MAE","","42401772020420036","",""
"a0CDm000000kMtiMAE","","CFG-CKJ00014941","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieiMAA","a0EDm000000dJmCMAU","","42396324510821984","",""
"a0CDm000000kMtjMAE","","CFG-CKJ00014940","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieiMAA","a0EDm000000dJmBMAU","","42855392953985720","",""
"a0CDm000000kMtkMAE","","CFG-CKJ00014942","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000gieiMAA","a0EDm000000dJm9MAE","","42199804981675625","",""
"a0CDm000000kMtlMAE","","CFG-CKJ00014943","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJm0MAE","","42029281540716260","",""
"a0CDm000000kMtmMAE","","CFG-CKJ00014944","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJm1MAE","","42246496149618254","",""
"a0CDm000000kMtnMAE","","CFG-CKJ00014945","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJm4MAE","","42311038581712896","",""
"a0CDm000000kMtoMAE","","CFG-CKJ00014946","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJm5MAE","","42839807620270760","",""
"a0CDm000000kMtpMAE","","CFG-CKJ00014947","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJm6MAE","","4226139674781753","",""
"a0CDm000000kMtqMAE","","CFG-CKJ00014948","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJm7MAE","","42784817488010564","",""
"a0CDm000000kMtrMAE","","CFG-CKJ00014949","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJm8MAE","","42165945388551663","",""
"a0CDm000000kMtsMAE","","CFG-CKJ00014950","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJmBMAU","","42331818602002844","",""
"a0CDm000000kMttMAE","","CFG-CKJ00014952","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJm9MAE","","42602779552133777","",""
"a0CDm000000kMtuMAE","","CFG-CKJ00014951","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0DDm000000giejMAA","a0EDm000000dJmCMAU","","42293175822135847","",""
