"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category_Name__c","nFORCE__Is_Active__c","nFORCE__Key__c","nFORCE__Value__c","nFORCE__Description__c","nFUSE__Is_Encrypted__c","nFUSE__Value_Data_Type__c","nFORCE__Institution_ID__c"
"a1TDm0000004j9IMAQ","","753E0B1E_0E52_4D56_AB67_6B2B79172613","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","ID Scan","false","ID Scan File Size Limit","10","This system property controls the maximum heap size in MB for an upload in ID Scan. On installation, the system deselects the Is Active checkbox and the default is set to 10MB. To activate, select the Is Active checkbox.","false","",""
"a1TDm0000004j9JMAQ","","01096D7A_0670_4F4C_8A6A_304C6A07162E","","2023-02-24T16:04:45.000Z","005Dm000001PCRHIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRHIA4","","Automated Underwriting","true","Automated Underwriting Destination Route","","This system property defines the route the system redirects the user to after the automated underwriting process completes. On installation, the system sets Is Active to true and the value to null.","false","",""
"a1TDm0000004j9KMAQ","","B8429598_C9E1_4F29_9017_B11F98468575","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","document manager","true","add_pledged_collateral_placeholders_to_loan","true","","false","",""
"a1TDm0000004j9LMAQ","","8C3BE175_8D18_42B6_9962_FAF9C77D068F","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Product Collateral Types","true","Enable_Product_Collateral_Types_Filtering","false","This system property allows users to enable collateral filtering in the internal collateral and asset pages. When false, collateral filtering does not occur for the internal collateral and asset pages. By default, this system property is false.","false","",""
"a1TDm0000004j9MMAQ","","DB2940C2_0B88_41DE_9D88_7E143898F3BB","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","document manager","true","archive_browser_visible","false","","false","",""
"a1TDm0000004j9NMAQ","","63045E81_D141_4178_BDF3_AD0156BC0FC1","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","document manager","true","E-Signed document status","Signed","","false","",""
"a1TDm0000004j9OMAQ","","F9FCDC5F_6DAE_449E_B3B9_2672BC209BE5","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","document manager","true","Cloning_Flow_Enabled","false","","false","",""
"a1TDm0000004j9PMAQ","","Items To Approve Loans","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","ProductPackageApproval","true","AllowLoanInPPApproval","false","","false","",""
"a1TDm0000004j9QMAQ","","8F3C1BE4_B62A_4F2C_928F_599E77CD7A5C","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","document manager","true","document_manager_filesize_limit","","Sets a size limit on documents that can be uploaded; if left blank, no file size limit will be enforced.
            Not applicable to classic Document Manager.","false","",""
"a1TDm0000004j9RMAQ","","D6C8127B_8EB7_4768_9D6F_60651DF655FC","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","ECM Offloader","true","ecm_plugin_name","","","false","",""
