"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c"
"a1DDm000000kUpaMAE","","42204535454238820","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","credit_memo_force_screen_section_upgraded","true",""
"a1DDm000000kUpbMAE","","42998306999902048","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","credit_memo_force_section_config_upgraded","true",""
"a1DDm000000kUpcMAE","","42532501737588026","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","automate-covenant-testing","false",""
"a1DDm000000kUpdMAE","","42338980128886308","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","credit_memo_force_attachments_upgraded","true",""
"a1DDm000000kUpeMAE","","Package Credit Action","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Package Credit Action","true","Maintain Hierarchy","False",""
"a1DDm000000kUpfMAE","","42406683436110725","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","ProductPackageCreditAction","true","Modify","true",""
"a1DDm000000kUpgMAE","","42544145815874795","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","ProductPackageCreditAction","true","Renew","true",""
"a1DDm000000kUphMAE","","42113606616115030","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","ProductPackageCreditAction","true","Review","true",""
"a1DDm000000kUpiMAE","","42319815160130996","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","ProductPackageCreditAction","true","RenewalOrModificationStagesDisable","Closing",""
"a1DDm000000kUpjMAE","","42599565823232667","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","ProductPackageCreditAction","true","Exclude","true",""
"a1DDm000000kUpkMAE","","CHECK_ORDERING_URL","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","DEPOSIT_CREATION","true","CHECK_ORDERING_URL","",""
"a1DDm000000kUplMAE","","42064525529845850","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","ManageFacilities","true","ProductPackageNull","true",""
"a1DDm000000kUpmMAE","","42952266036051378","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","PRODUCT_PACKAGE","true","FacilityAggregationExclusionStatus","Superceded,Superseded,Withdrawn,Paid Out,Declined",""
